station_name,Station_Number,date,Year,Discrete_Oxygen,Temperature
Calaveras Point,36,11/9/77,1977,7.2,14.6
Point San Pablo,15,11/10/77,1977,7.6,14.6
Point San Pablo,15,7/13/78,1978,7.6,17.2
Calaveras Point,36,9/19/78,1978,5,18.2
Point San Pablo,15,9/20/78,1978,7.3,18.2
Point San Pablo,15,11/9/78,1978,7.8,14.9
Point San Pablo,15,6/15/94,1994,7.6,18.46
Calaveras Point,36,6/15/94,1994,6.7,19.73
Sacramento River,649,6/15/94,1994,8.4,20.32
Point San Pablo,15,7/28/94,1994,7.8,19.17
Calaveras Point,36,7/28/94,1994,6.3,21.23
Point San Pablo,15,8/30/94,1994,7.9,19.2
Calaveras Point,36,8/30/94,1994,6.2,21.7
Sacramento River,649,8/30/94,1994,8.2,21.22
Point San Pablo,15,9/27/94,1994,7.4,18.66
Calaveras Point,36,9/27/94,1994,6.7,20.98
Sacramento River,649,9/27/94,1994,8.3,20.2
Point San Pablo,15,10/26/94,1994,8,16.04
Calaveras Point,36,10/26/94,1994,7.3,16.96
Sacramento River,649,10/26/94,1994,9,17.03
Point San Pablo,15,11/29/94,1994,8.6,10.76
Calaveras Point,36,11/29/94,1994,7.9,10.25
Point San Pablo,15,6/13/95,1995,7.9,16.88
Point San Pablo,15,8/16/95,1995,8.2,19.41
Calaveras Point,36,8/16/95,1995,6.3,22.88
Point San Pablo,15,9/21/95,1995,7.5,18.15
Calaveras Point,36,9/21/95,1995,6.7,22.1
Point San Pablo,15,10/23/95,1995,8.1,16.2
Sacramento River,649,10/23/95,1995,9.3,17.19
Calaveras Point,36,10/25/95,1995,7.2,17.82
Point San Pablo,15,6/12/96,1996,7.5,16.9
Sacramento River,649,6/12/96,1996,8.3,20.91
Point San Pablo,15,7/17/96,1996,8,19.45
Calaveras Point,36,7/17/96,1996,6.1,21.59
Sacramento River,649,7/17/96,1996,8.6,21.08
Point San Pablo,15,8/13/96,1996,7.8,19.64
Calaveras Point,36,8/13/96,1996,5.4,23.92
Sacramento River,649,8/13/96,1996,8.6,22.52
Point San Pablo,15,9/11/96,1996,7.6,18.81
Sacramento River,649,9/11/96,1996,8.5,20.49
Point San Pablo,15,10/16/96,1996,7.6,17.58
Calaveras Point,36,10/16/96,1996,6.8,19.29
Sacramento River,649,10/16/96,1996,8.7,18.8
Point San Pablo,15,11/13/96,1996,7.6,13.72
Sacramento River,649,11/13/96,1996,9.3,14.16
Point San Pablo,15,6/10/97,1997,7.5,18.73
Calaveras Point,36,6/10/97,1997,6.6,20.39
Sacramento River,649,6/10/97,1997,8.5,21.16
Point San Pablo,15,7/15/97,1997,7.9,19.15
Sacramento River,649,7/15/97,1997,8.6,21.66
Point San Pablo,15,8/5/97,1997,7.7,20.23
Calaveras Point,36,8/5/97,1997,5.4,22.84
Sacramento River,649,8/5/97,1997,8.5,22.36
Point San Pablo,15,9/9/97,1997,8.8,20.93
Calaveras Point,36,9/9/97,1997,6.9,22.19
Sacramento River,649,9/9/97,1997,8.4,21.59
Point San Pablo,15,10/7/97,1997,7.8,18.37
Sacramento River,649,10/7/97,1997,8.7,19.61
Point San Pablo,15,11/6/97,1997,7.7,16.87
Sacramento River,649,11/6/97,1997,8.9,17.16
