Year,WY_Index,Yr_type
1906,11.76,Wet
1907,14.07,Wet
1908,7.73,Below Normal
1909,12.1,Wet
1910,9.38,Wet
1911,11.74,Wet
1912,6.71,Below Normal
1913,6.24,Dry
1914,10.92,Wet
1915,10.99,Wet
1916,10.83,Wet
1917,8.83,Above Normal
1918,6.19,Dry
1919,7,Below Normal
1920,5.15,Critical
1921,9.2,Above Normal
1922,8.97,Above Normal
1923,7.06,Below Normal
1924,3.87,Critical
1925,6.39,Dry
1926,5.75,Dry
1927,9.52,Wet
1928,8.27,Above Normal
1929,5.22,Critical
1930,5.9,Dry
1931,3.66,Critical
1932,5.48,Dry
1933,4.63,Critical
1934,4.07,Critical
1935,6.98,Below Normal
1936,7.75,Below Normal
1937,6.87,Below Normal
1938,12.62,Wet
1939,5.58,Dry
1940,8.88,Above Normal
1941,11.47,Wet
1942,11.27,Wet
1943,9.77,Wet
1944,6.35,Dry
1945,6.8,Below Normal
1946,7.7,Below Normal
1947,5.61,Dry
1948,7.12,Below Normal
1949,6.09,Dry
1950,6.62,Below Normal
1951,9.18,Above Normal
1952,12.38,Wet
1953,9.55,Wet
1954,8.51,Above Normal
1955,6.14,Dry
1956,11.38,Wet
1957,7.83,Above Normal
1958,12.16,Wet
1959,6.75,Below Normal
1960,6.2,Dry
1961,5.68,Dry
1962,6.65,Below Normal
1963,9.63,Wet
1964,6.41,Dry
1965,10.15,Wet
1966,7.16,Below Normal
1967,10.2,Wet
1968,7.24,Below Normal
1969,11.05,Wet
1970,10.4,Wet
1971,10.37,Wet
1972,7.29,Below Normal
1973,8.58,Above Normal
1974,12.99,Wet
1975,9.35,Wet
1976,5.29,Critical
1977,3.11,Critical
1978,8.65,Above Normal
1979,6.67,Below Normal
1980,9.04,Above Normal
1981,6.21,Dry
1982,12.76,Wet
1983,15.29,Wet
1984,10,Wet
1985,6.47,Dry
1986,9.96,Wet
1987,5.86,Dry
1988,4.65,Critical
1989,6.13,Dry
1990,4.81,Critical
1991,4.21,Critical
1992,4.06,Critical
1993,8.54,Above Normal
1994,5.02,Critical
1995,12.89,Wet
1996,10.26,Wet
1997,10.82,Wet
1998,13.31,Wet
1999,9.8,Wet
2000,8.94,Above Normal
2001,5.76,Dry
2002,6.35,Dry
2003,8.21,Above Normal
2004,7.51,Below Normal
2005,8.49,Above Normal
2006,13.2,Wet
2007,6.19,Dry
2008,5.16,Critical
2009,5.78,Dry
2010,7.08,Below Normal
2011,10.54,Wet
2012,6.89,Below Normal
2013,5.83,Dry
2014,4.07,Critical
2015,4,Critical
2016,6.71,Below Normal
2017,14.14,Wet
2018,7.14,Below Normal
2019,10.34,Wet
2020,6.13,Dry
2021,3.86,Critical
